headline,section,locations,word_count,snippet,source,subjects,url,desk,date,type,id,abstract
Web Magazine Raises Doubts Over a Symbol Of Abu Ghraib,World,[u'ABU GHRAIB'],523,The online magazine Salon is challenging the identity of a man who says he is the iconic hooded figure in a published photograph of abused detainees at Abu Ghraib prison.,The New York Times,"[u'PRISONS AND PRISONERS', u'FREEDOM AND HUMAN RIGHTS']",http://www.nytimes.com/2006/03/14/international/middleeast/14salon.html,Foreign Desk,14/3/2006,News,4fd254828eb7c8105d7fb77c,
Editors' Note,Editors' Notes; Corrections; Washington; New York and Region,"[u'IRAQ', u'ABU GHRAIB (IRAQ)']",224,"A front-page article last Saturday profiled Ali Shalal Qaissi, identifying him as the hooded man forced to stand on a box, attached to wires, in a photograph from the Abu Ghraib prison abuse scandal of 2003 and 2004. He was shown holding such a...",The New York Times,"[u'UNITED STATES INTERNATIONAL RELATIONS', u'WAR CRIMES, GENOCIDE AND CRIMES AGAINST HUMANITY', u'PRISONERS OF WAR', u'PHOTOGRAPHY', u'CORRECTION STORIES', u'UNITED STATES ARMAMENT AND DEFENSE']",http://query.nytimes.com/gst/fullpage.html?res=9D00EFDA1E31F93BA25750C0A9609C8B63,Metropolitan Desk,18/3/2006,Correction; Editors' Note,4fd2ab808eb7c8105d898557,"March 11 article identified Ali Shalal Qaissi as hooded man forced to stand on box, attached to wires, in photograph from Abu Ghraib prison abuse scandal; he was shown holding such photograph; Qaissi was not that man"
Editors' Note,World; Corrections; Editors' Notes,[],224,"A front-page article last Saturday profiled Ali Shalal Qaissi, identifying him as the hooded man forced to stand on a box, attached to wires, in a photograph from the Abu Ghraib prison abuse scandal of 2003 and 2004. He was shown holding such a...",The New York Times,[],http://query.nytimes.com/gst/fullpage.html?res=9502E3DC1230F93BA25750C0A9609C8B63,Foreign Desk,18/3/2006,Editors' Note,4fd251e88eb7c8105d7f725d,
"Paid Notice: Deaths   ZECK, BELLE MAYER",Paid Death Notices,[],310,"ZECK--Belle Mayer. Prominent Rockland County Attorney, died peacefully at her home in Suffern on Saturday Evening. Born in Port Henry, NY on Ferburary 22, 1919, she moved to Suffern in 1925, where the Mayer family owned Suffern Distributors for forty...",The New York Times,[],http://query.nytimes.com/gst/fullpage.html?res=9C05EED9143AF932A15750C0A9609C8B63,Classified,21/3/2006,Paid Death Notice,4fd2693d8eb7c8105d8202f2,
"Paid Notice: Deaths  Clark, Clifford L.",Paid Death Notices,[],36,"CLARK-Clifford L. On March 7, age 92. St. Luke's gifted choir director, much loved by his siblings, nephews and nieces in Canada. Memorial service April 1 at St. Luke's Chapel, NYC at 11AM. Donations: Amnesty International.",The New York Times,[],http://www.legacy.com/Link.asp?I=LS000017194996,Classified,25/3/2006,Paid Death Notice,5213fb7479881007d590cc99,
"Paid Notice: Deaths   CLARK, CLIFFORD L.",Paid Death Notices,[],36,"CLARK--Clifford L. On March 7, age 92. St. Luke's gifted choir director, much loved by his siblings, nephews and nieces in Canada. Memorial service April 1 at St. Luke's Chapel, NYC at 11AM. Donations: Amnesty International.",The New York Times,[],http://query.nytimes.com/gst/fullpage.html?res=9F0CE2D7143AF936A15750C0A9609C8B63,Classified,25/3/2006,Paid Death Notice,4fd278308eb7c8105d839f34,
Books to Chew On,Arts; Books,[],1507,"Over the centuries, book-eating has flourished as a metaphor  and sometimes as a literal fact.",The New York Times,"[u'EDIBLE BOOKS FESTIVAL', u'BOOKS AND LITERATURE', u'FOOD']",http://www.nytimes.com/2006/03/26/books/review/26eskin.html,Book Review Desk,26/3/2006,Review,4fd250998eb7c8105d7f41a4,"Blake Eskin essay on Edible Books Festival, which was created by California librarian Judith A Hoffberg in 1999 and involves looking at books and then eating cakes in shape of book; notes that festival, now in its seventh year, has spread to 28 states and 15 countries; says that over centuries, book-eating has flourished as metaphor and sometime literal act as spiritual, political or artistic statement; photos (M)"
Calling Names,U.S.,[],2284,"In this lesson, students explore how language shapes debate by researching the names and tags both advocates and opponents use when discussing a topical issue. For homework, they create name collages and write prose poems.",The New York Times,[],http://learning.blogs.nytimes.com/2006/03/27/calling-names/,,27/3/2006,Blog,4fd3642f8eb7c8105d8b2de6,"In this lesson, students explore how language shapes debate by researching the names and tags both advocates and opponents use when discussing a topical issue. For homework, they create name collages and write prose poems."
News Summary,New York and Region,[],874,"INTERNATIONAL   A3-13    Israeli Voters Support Party Commited to Pullout  Israelis chose to bring to power Kadima, a new party founded by former Prime Minister Ariel Sharon, which is committed to a unilateral pullout from the occupied West Bank. Its...",The New York Times,[],http://query.nytimes.com/gst/fullpage.html?res=9A04E6DD1530F93AA15750C0A9609C8B63,Metropolitan Desk,29/3/2006,Summary,4fd2509a8eb7c8105d7f4245,
Mexico Pledges to Extradite Drug Traffickers to the U.S.,World; Washington,[u'MEXICO'],719,President Vicente Fox said that his government would begin suspending trials against suspected traffickers wanted in the U.S.,The New York Times,"[u'EXTRADITION', u'UNITED STATES INTERNATIONAL RELATIONS', u'DRUG ABUSE AND TRAFFIC']",http://www.nytimes.com/2006/03/29/international/americas/29mexico.html,Foreign Desk,29/3/2006,News,4fd26ab18eb7c8105d822390,"Pres Vicente Fox of Mexico says that his government will begin suspending trials against suspected drug traffickers wanted in United States and extradite them for prosecution in American courts; Fox's comments appear to be goodwill gesture before he meets with Pres Bush and would mark significant shift in fight against drug trade in Mexico, where leaders have resisted extradition as infringement of sovereignty (M)"
Syria Imposing Stronger Curbs on Opposition,World,[u'Syria'],1253,Syrian officials are aggressively silencing domestic political opposition while accommodating religious conservatives.,The New York Times,"[u'Politics and Government', u'Islam', u'Leaders and Leadership', u'Freedom and Human Rights']",http://www.nytimes.com/2006/04/05/world/middleeast/05syria.html,Foreign,5/4/2006,News,54b35c2a79881019b02c2197,
"Yemenis Freed After Transfer From Secret Prisons, Report Says",World,"[u'Yemen', u'Guantanamo Bay Naval Base (Cuba)']",759,Three Yemeni men held for over a year in secret American prisons were released last month after a Yemeni court concluded they had no terrorist ties.,The New York Times,"[u'Extradition', u'Freedom and Human Rights', u'Amnesties and Pardons', u'Terrorism']",http://www.nytimes.com/2006/04/05/world/middleeast/05detain.html,Foreign,5/4/2006,News,54b35c4079881019b02c219a,
News Summary,New York and Region,[],801,"INTERNATIONAL   A3-10    Court Charges Hussein With Genocide of Kurds  The Iraqi court trying Saddam Hussein announced that it had charged him with genocide, saying he had sought to annihilate the Kurdish people in 1988, when the military killed at...",The New York Times,[],http://query.nytimes.com/gst/fullpage.html?res=9C0CEEDE1030F936A35757C0A9609C8B63,Metropolitan Desk,5/4/2006,Summary,4fd2702b8eb7c8105d82b291,
The Ford Administration as a Dress Rehearsal for Today,Arts; Washington; Books,[],1274,"Barry Werth's book covers the period after President Nixon's resignation, when some of the current administration's top players rose to power.",The New York Times,"[u'UNITED STATES INTERNATIONAL RELATIONS', u'REVIEWS', u'PRESIDENTS AND PRESIDENCY (US)', u'POLITICS AND GOVERNMENT', u'BOOKS AND LITERATURE', u'HISTORY']",http://www.nytimes.com/2006/04/11/books/11kaku.html,The Arts/Cultural Desk,11/4/2006,Review,4fd26ab48eb7c8105d822627,Michiko Kakutani reviews book 31 Days: The Crisis That Gave Us The Government We Have Today by Barry Werth; photo (M)
The Anti- Orientalist,Magazine; Books,"[u'MARRAKESH (MOROCCO)', u'SPAIN', u'MIDDLE EAST']",4895,"From a self-imposed exile in Marrakesh, the Spanish novelist Juan Goytisolo has become a voice for what the West would rather forget about Islam.",The New York Times,"[u'WRITING AND WRITERS', u'BOOKS AND LITERATURE', u'BIOGRAPHICAL INFORMATION', u'ISLAM']",http://www.nytimes.com/2006/04/16/magazine/16goytisolo.html,Magazine,16/4/2006,News,4fd2509e8eb7c8105d7f4588,"Fernanda Eberstadt profile of Juan Goytisolo, Spanish novelist who has lived for much of last 25 years in Marrakesh, Morocco, indulging his passion for Muslim culture and predilection for working-class Arab men; Goytisolo has written against tyranny of Arab governments, which he blames for radicalization of Islamic youth, and also against neglect of Europe's Islamic minorities and pernicious influence of Christian evangelism on American foreign policy; nevertheless sees seeds of modernity in Arab world and hopes that radical Islamist parties may be tempered and matured by partaking in national governments; photos (L)"
Army Fires at Protesters as Nepal's Political Crisis Deepens,World,"[u'Nepal', u'India']",1058,The coalition that organized the demonstrations demanded that the king restore Nepal's Parliament and relinquish control of the government.,The New York Times,"[u'Demonstrations and Riots', u'Politics and Government']",http://www.nytimes.com/2006/04/20/world/asia/20nepal.html,Foreign,20/4/2006,News,54b36f8b79881019b02c23ed,
"Between Gags, a D.J. Rallies Immigrants",Style,"[u'LOS ANGELES (CALIF)', u'MEXICO']",1250,"Eduardo Sotelo, the star of Hispanic radio, has become a political figure and catalyst of the newly galvanized immigrant rights movement.",The New York Times,"[u'MEXICAN-AMERICANS', u'IMMIGRATION AND REFUGEES', u'RADIO', u'HISPANIC-AMERICANS', u'ILLEGAL IMMIGRANTS']",http://www.nytimes.com/2006/04/30/fashion/sundaystyles/30DJ.html,Style Desk,30/4/2006,News,4fd26ab88eb7c8105d822a00,"Eduardo Sotelo, highest-rated morning radio host and prankster in Los Angeles, is comedian on air but also advocate for Hispanic immigrants who is giving voice to illegal immigrants in raging national debate; photo; Sotelo himself was smuggled into US in 1986 and is becoming citizen this year (M)"
Western Europe Opens Doors to East,World,[],676,The European Union entered a new phase by easing or eliminating restrictions on workers from new members.,The New York Times,[],http://www.nytimes.com/2006/05/01/world/europe/01cnd-spain.html,ContinuousNews,1/5/2006,News,54b383c179881019b02c268e,
New U.N. Rights Group Includes Six Nations With Poor Records,World,[],677,Six nations with poor human rights records were among those elected to the new Human Rights Council on Tuesday.,The New York Times,[u'Freedom and Human Rights'],http://www.nytimes.com/2006/05/10/world/10nations.html,Foreign,10/5/2006,News,54b3bbf079881019b02c2dca,
Army Acts to Curb Abuses of Injured Recruits,U.S.,[u'Oklahoma'],1647,Soldiers and their parents said troops injured at Fort Sill were punished with abuse and neglect.,The New York Times,"[u'Military Personnel', u'Therapy and Rehabilitation', u'Draft and Recruitment (Military)', u'United States Armament and Defense']",http://www.nytimes.com/2006/05/12/us/12training.html,National,12/5/2006,News,54b3ce9e79881019b02c303e,
Over the Borderline?,U.S.,[],2563,"In this lesson, students learn about President Bush's ""middle ground"" approach to issues of immigration reform presently under congressional consideration. They then take part in a roundtable discussion to articulate their own perspectives regarding...",The New York Times,[],http://learning.blogs.nytimes.com/2006/05/17/over-the-borderline/,,17/5/2006,Blog,4fd364ef8eb7c8105d8b3fcf,"In this lesson, students learn about President Bush's ""middle ground"" approach to issues of immigration reform presently under congressional consideration. They then take part in a roundtable discussion to articulate their own perspectives regarding these issues."
Suit Says Preacher Cheated Immigrants,N.Y. / Region,[],847,"PLAINFIELD, N.J., May 19 &#151; On many Sundays last year, illegal immigrants crowded into the pews of the two-story Salvation Army church adjacent to town hall in this central New Jersey town to hear a charismatic preacher speak of God and offer...",The New York Times,"[u'Frauds and Swindling', u'Illegal Immigrants']",http://www.nytimes.com/2006/05/20/nyregion/20salvation.html,Metro,20/5/2006,News,54b40899798810566ec18e52,
Letters to the Editor,Travel,[],559,Readers' letters to the travel editor.,The New York Times,[u'Travel and Vacations'],http://www.nytimes.com/2006/05/21/travel/21mail.html,Travel,21/5/2006,Letter,54b3d1bf79881019b02c30a9,
"Immigration, From a Simmer to a Scream",Week in Review,[],1190,"The immigration debate has reached a screaming pitch, fueled by talk-radio invective and mass protests. How did things get so bad?",The New York Times,"[u'Immigration and Refugees', u'Illegal Immigrants']",http://www.nytimes.com/2006/05/21/weekinreview/21broder.html,WeekInReview,21/5/2006,News,54b40a50798810566ec18e89,
400 Dead Women: Now Hollywood Is Intrigued,Movies,[u'Mexico'],1523,"The unsettling case of mass murders in Juarez, Mexico, has inspired two new movies, including an action-thriller starring Jennifer Lopez.",The New York Times,"[u'Motion Pictures', u'Murders and Attempted Murders']",http://www.nytimes.com/2006/05/21/movies/21broe.html,Arts&Leisure,21/5/2006,News,54b3e9e779881019b02c33cb,
THE BEST STRATEGY,Opinion,[],206,"To the Editor: Thanks to Mr. Kurlantzick for laying out the arguments for and against tourist travel to Myanmar, given its poor human rights record. Although he did mention Daw Aung San Suu Kyi, he didn't say that she won the Nobel Peace Prize in...",The New York Times,[],http://query.nytimes.com/gst/fullpage.html?res=9E02E0DF123EF932A15756C0A9609C8B63,Travel Desk,21/5/2006,Letter,4fd250a18eb7c8105d7f4947,
Rights Group Faults U.S. for 'War Outsourcing',World,[],576,Amnesty International said the behavior of some contractors in Iraq had diminished U.S. moral standing.,The New York Times,[],http://www.nytimes.com/2006/05/23/world/middleeast/23cnd-amnesty.html,ContinuousNews,23/5/2006,News,54b41929798810566ec19089,
News Summary,New York and Region,[],1081,"INTERNATIONAL   A3-14    Iraqi Charities Bringing A Divided Land Together  The Iraqi government has registered 5,000 private organizations, including charities and human rights groups. Officials estimate that another 7,000 groups exist unofficially....",The New York Times,[],http://query.nytimes.com/gst/fullpage.html?res=9E02EFDA103EF930A15756C0A9609C8B63,Metropolitan Desk,23/5/2006,Summary,4fd2aec98eb7c8105d89d397,
Rights Group Criticizes U.S. Over 'Outsourcing' in Iraq,World,"[u'Iraq', u'United States']",590,Amnesty International assailed the use of military contractors in Iraq and said the behavior of some contractors had diminished America's moral standing.,The New York Times,"[u'Defense Contracts', u'United States Armament and Defense']",http://www.nytimes.com/2006/05/24/world/middleeast/24amnesty.html,Foreign,24/5/2006,News,54b41d23798810566ec19102,
Russia Hit by Wave of Racist Attacks,World,[],1074,A deadly wave of racism has resulted in at least 48 murders and scores of assaults across the country in the last year and a half alone.,The New York Times,[],http://www.nytimes.com/2006/05/24/world/europe/24cnd-russia.html,ContinuousNews,24/5/2006,News,54b421ab798810566ec1919d,
News Summary,New York and Region,[],994,"INTERNATIONAL   A3-19    A Galaxy of Armed Groups Propel Iraq Towards Chaos  The effort to arm Iraqi soldiers and officers, coupled with a failure to curb militia gunmen, has created a galaxy of armed groups, each with its own loyalty and agenda,...",The New York Times,[],http://query.nytimes.com/gst/fullpage.html?res=9A05E1D6103EF937A15756C0A9609C8B63,Metropolitan Desk,24/5/2006,Summary,4fd2548e8eb7c8105d7fc238,
Russian Officials Say Arrests End Gang Accused of Racial Killings,World,[u'Russia'],617,The case is a rare success in Russia's fight against a deadly wave of racism and xenophobia that is sweeping the country.,The New York Times,"[u'Hate Crimes', u'Discrimination', u'Murders and Attempted Murders', u'Police']",http://www.nytimes.com/2006/05/25/world/europe/25russia.html,Foreign,25/5/2006,News,54b4249a798810566ec19200,
The Safety of Tasers Is Questioned Again,Business Day,[],839,A new study by a Wisconsin scientist showed that shocks from Tasers can cause the hearts of healthy pigs to stop beating.,The New York Times,"[u'Firearms', u'Tests and Testing']",http://www.nytimes.com/2006/05/25/business/25taser.html,Business,25/5/2006,News,54b424bb798810566ec19205,
Art in Review,Arts,[u'New York City'],2470,"Reviews of Richard Serra at Gagosian Gallery, Jason Simon at Orchard, Manolo Millares at Acquavella Contemporary Art and more.",The New York Times,[u'Art'],http://www.nytimes.com/2006/05/26/arts/design/26gall.html,Weekend,26/5/2006,Review,54b42cb5798810566ec19312,
Art in Review; 'Disturbing the Peace' -- Carol Armstrong,Arts,[],215,"Conviction  Denise Bibro Gallery  529 West 20th Street, Chelsea  Through June 3       ''Disturbing the Peace,'' an all-women, all-photography group show, is a contrarian take on the subject of crime and punishment. Martha Rosler brings Abu Ghraib...",The New York Times,"[u'REVIEWS', u'PHOTOGRAPHY']",http://query.nytimes.com/gst/fullpage.html?res=9C02EED6113EF935A15756C0A9609C8B63,Leisure/Weekend Desk,26/5/2006,Review,4fd270318eb7c8105d82b8aa,"Holland Cotter reviews Disturbing the Peace, all women photography group show at Denise Bibro Gallery (M)"
Waging War With Private Forces (7 Letters),Opinion,[],992,To the Editor:.,The New York Times,"[u'United States Armament and Defense', u'Mercenaries', u'Draft and Recruitment (Military)', u'Defense Contracts']",http://www.nytimes.com/2006/05/28/opinion/l28koppel.html,Letters,28/5/2006,Letter,54b435e0798810566ec19449,
Waging War With Private Forces,Opinion,[u'IRAQ'],165,To the Editor:      Ted Koppel's examination of private companies that perform military functions for the United States does not consider how this outsourcing may be fueling serious human rights abuses.,The New York Times,"[u'UNITED STATES INTERNATIONAL RELATIONS', u'MERCENARIES', u'PRIVATIZATION', u'FREEDOM AND HUMAN RIGHTS', u'UNITED STATES ARMAMENT AND DEFENSE']",http://query.nytimes.com/gst/fullpage.html?res=9C04E3D61E3EF93BA15756C0A9609C8B63,Editorial Desk,28/5/2006,Letter,4fd270328eb7c8105d82b92d,"Letter from Mila Rosenthal (Amnesty International USA) replies to Ted Koppel's May 22 Op-Ed, warning that US outsourcing of military functions in Iraq could fuel serious human rights abuses; drawing"
"Paid Notice: Deaths   FIELD, GEORGE",Paid Death Notices,[],112,"FIELD--George. One of the founders of Freedom House and its Executive Director from 1941 to 1967, has died at age 101 in Kennett Square, PA. Mr. Field devoted his life to the pursuit of freedom, democarcy and human rights. After serving as Program...",The New York Times,[],http://query.nytimes.com/gst/fullpage.html?res=9801E2DC103AF93AA15756C0A9609C8B63,Classified,29/5/2006,Paid Death Notice,4fd26abb8eb7c8105d822bb9,
"Paid Notice: Deaths  Field, George ",Paid Death Notices,[],112,"FIELD-George. One of the founders of Freedom House and its Executive Director from 1941 to 1967, has died at age 101 in Kennett Square, PA. Mr. Field devoted his life to the pursuit of freedom, democarcy and human rights. After serving as Program...",The New York Times,[],http://www.legacy.com/Link.asp?I=LS000017939779,Classified,29/5/2006,Paid Death Notice,5213e3eb79881007d5907abf,
The Long Interrogation,Magazine,[u'Ethiopia'],6398,"When Edgegayehu Taye took a job in an Atlanta hotel, she never expected the service elevator doors to open one day and reveal the man who tortured her years before in Ethiopia.",The New York Times,"[u'Immigration and Refugees', u'Freedom and Human Rights', u'War Crimes, Genocide and Crimes Against Humanity', u'Extradition', u'Deportation']",http://www.nytimes.com/2006/06/04/magazine/04torturer.html,Magazine,4/6/2006,News,54b4a3e9798810566ec197c8,
"Angry Exchanges, to and Fro, at Rally",N.Y. / Region,[u'Manhattan (NYC)'],502,"Under drizzly skies, about 40 demonstrators holding up signs that included",The New York Times,"[u'Immigration and Refugees', u'Demonstrations and Riots']",http://www.nytimes.com/2006/06/04/nyregion/04protest.html,Metro,4/6/2006,News,54b4c799798810566ec19c69,
"Ahead of World Cup, U.S. Warns Germany About Sex Trafficking",World,[u'Germany'],621,"The U.S. called Germany, which has legalized prostitution, ""a source, transit and destination country"" for sex workers.",The New York Times,"[u'Prostitution', u'Women', u'Slavery', u'World Cup (Soccer)', u'International Relations', u'United States International Relations', u'Freedom and Human Rights']",http://www.nytimes.com/2006/06/06/world/europe/06slavery.html,Foreign,6/6/2006,News,54b4ce91798810566ec19d59,
"'Gulag,' a Show at Ellis Island, Depicts a Penal System Gone Awry",Arts,[u'Russia'],1366,"In this compact exhibition devoted to Soviet-era prison camps, small things tell large truths more plainly than larger arguments.",The New York Times,"[u'Museums', u'Immigration and Refugees']",http://www.nytimes.com/2006/06/07/arts/design/07gula.html,Culture,7/6/2006,Review,54b4d4fe798810566ec19e37,
Key Events in the Life of al-Zarqawi,World,[],899,,The New York Times,[],http://www.nytimes.com/2006/06/08/world/08timeline-zarqawi.html,WEB,8/6/2006,News,54b4e14e798810566ec19fe1,
3 Prisoners Die in Suicide Pact at Guantánamo,World,[],1249,"They are the first deaths reported at the detention center, where the U.S. is holding about 460 men.",The New York Times,[],http://www.nytimes.com/2006/06/10/world/americas/10wire-cuba.html,Foreign,10/6/2006,News,54b4f6e0798810566ec1a2c0,
"For Former Dissident, Two Lives and One Retirement",N.Y. / Region,[],824,"TARRYTOWN, N.Y., June 10 — Pavel Litvinov's first life ended one day in August 1968, when K.G.B. agents arrested him in Red Square in Moscow, where he was protesting the Soviet invasion of Czechoslovakia, and exiled him to Siberia. His second life...",The New York Times,[],http://www.nytimes.com/2006/06/11/nyregion/11teacher.html,Metro,11/6/2006,News,54b4f764798810566ec1a2d4,
Criticism for China Over Weapons Sales,World,"[u'China', u'Sudan', u'Nepal', u'Myanmar']",114,"China's sales of weapons to Sudan, Nepal and Myanmar have aggravated conflicts and abetted violence and repressive governments, Amnesty International said.",The New York Times,[u'Arms Sales Abroad'],http://www.nytimes.com/2006/06/12/world/asia/12china.html,Foreign,12/6/2006,News,54b4fa19798810566ec1a335,
Criticism for China Over Weapons Sales,World,[],109,"China's sales of military vehicles and weapons to Sudan, Nepal and Myanmar have aggravated conflicts and abetted violence and repressive governments, Amnesty International said in a report released Sunday.     ''China has used the phrase 'cautious...",AP,[],/data/daily/2006/06/12/851035.sgml,Foreign Desk,12/6/2006,News,4fd254908eb7c8105d7fc43e,
The 3 Suicides at Guantánamo (5 Letters),Opinion,[u'Guantanamo Bay Naval Base (Cuba)'],597,To the Editor:.,The New York Times,"[u'Suicides and Suicide Attempts', u'United States Armament and Defense', u'International Relations', u'Torture', u'Freedom and Human Rights', u'Terrorism']",http://www.nytimes.com/2006/06/13/opinion/l13gitmo.html,Letters,13/6/2006,Letter,54b4fe13798810566ec1a3be,
The 3 Suicides at Guantánamo,Opinion,[],134,"To the Editor:     Re ''Three Prisoners Commit Suicide at Guantánamo'' (front page, June 11):     Amnesty International, Human Rights Watch and the United Nations have all denounced the conditions of the United States military prison at Guantánamo...",The New York Times,"[u'GUANTANAMO BAY NAVAL BASE (CUBA)', u'SUICIDES AND SUICIDE ATTEMPTS', u'TERRORISM']",http://query.nytimes.com/gst/fullpage.html?res=9C0CE0DA1331F930A25755C0A9609C8B63,Editorial Desk,13/6/2006,Letter,4fd2783a8eb7c8105d83a7f3,Letter from Stephen Crowley says Rear Adm Harry B Harris Jr's seemingly callous remarks about three detainees who committed suicide at Guantanamo makes him ashamed of his own government
Cleric Linked to 2002 Bali Blasts Is Released,World,[u'Indonesia'],762,Abu Bakar Bashir walked out of prison after serving just over a year for criminal conspiracy.,The New York Times,[],http://www.nytimes.com/2006/06/14/world/asia/14bashir.html,Foreign,14/6/2006,News,54b5075c798810566ec1a4f1,
Cleric Linked to 2002 Bali Blasts Is Released,World,[],1063,"Abu Bakar Bashir walked out of prison today, after serving just over a year for criminal conspiracy.",The New York Times,[],http://www.nytimes.com/2006/06/14/world/asia/14cnd-bashir.html,ContinuousNews,14/6/2006,News,54b50c1f798810566ec1a592,
Body of Missing Pakistani Journalist Found Shot,World,[],630,"Hayatullah Khan, 29, was found dead with his hands chained outside a village in the tribal area of Waziristan this afternoon.",The New York Times,[],http://www.nytimes.com/2006/06/16/world/asia/16cnd-pakistan.html,ContinuousNews,16/6/2006,News,54b51e4a798810566ec1a7e8,
"With Victory, Italy Changes the Subject",Sports,[u'Italy'],934,The soccer world is still waiting to see whether a match-fixing scandal in its domestic league will drive the Italian national team apart or bind it together with the glue of turmoil.,The New York Times,[u'World Cup (Soccer)'],http://www.nytimes.com/2006/06/17/sports/soccer/17italy.html,Sports,17/6/2006,News,54b52382798810566ec1a8a0,
Iraq Debate in Senate Turns Emotional,Washington,[u'Iraq'],1581,Lawmakers reacted to reports of the killing of two U.S. soldiers by adopting two measures opposing amnesty for any Iraqis who attack U.S. troops.,The New York Times,[u'United States Politics and Government'],http://www.nytimes.com/2006/06/20/washington/20cnd-cong.html,ContinuousNews,20/6/2006,News,54b531d3798810566ec1aa8b,
"Bank Data, Terror and The Times (6 Letters)",Opinion,[],834,To the Editor:.,The New York Times,[u'Terrorism'],http://www.nytimes.com/2006/06/24/opinion/l24terror.html,Letters,24/6/2006,Letter,54b54f8579881025bee95c1d,
"Bank Data, Terror and The Times",Opinion,[],830,"To the Editor:     Re ''Bank Data Sifted in Secret by U.S. to Block Terror'' (front page, June 23):     The question is, What's more important, the Central Intelligence Agency's ability to track terrorist financing, or the ''public interest'' in...",The New York Times,"[u'TERRORISM', u'COMPUTERS AND THE INTERNET', u'WIRETAPPING AND OTHER EAVESDROPPING DEVICES AND METHODS', u'BANKS AND BANKING']",http://query.nytimes.com/gst/fullpage.html?res=9E00E0DC1630F937A15755C0A9609C8B63,Editorial Desk,24/6/2006,Letter,4fd250a38eb7c8105d7f4a94,"Letters from Salvatore J Bommarito, Coleman Glenn, John A Maher and Terri Wagner criticize New York Times for publishing June 23 article about secret Bush administration program that monitors international banking network to track terrorist funding; letters from Beatrice Williams-Rude and Leonard Novick support Times; drawing"
News Summary,New York and Region,[],1211,"INTERNATIONAL   A3-10    Militants Kill 2 Soldiers, Spurring Israeli Warning  Israel threatened strong military action after Palestinian militants, including those belonging to the governing faction Hamas, emerged from a tunnel dug 300 yards into...",The New York Times,[],http://query.nytimes.com/gst/fullpage.html?res=9D0CE5DE1730F935A15755C0A9609C8B63,Metropolitan Desk,26/6/2006,Summary,4fd2aecf8eb7c8105d89d911,
A New Red Menace?,U.S.,[],3443,"In this lesson, students research North Korea, the Cold War and regional geopolitics in preparation for participating in an international round table. For homework, they write essays on what action they think needs to be taken to discourage North...",The New York Times,[],http://learning.blogs.nytimes.com/2006/06/26/a-new-red-menace/,,26/6/2006,Blog,4fd365048eb7c8105d8b4168,"In this lesson, students research North Korea, the Cold War and regional geopolitics in preparation for participating in an international round table. For homework, they write essays on what action they think needs to be taken to discourage North Korea from continuing to pursue nuclear weapons."
Timor's Ousted Leader to be Questioned on Hit Squads,World,[],536,Mari Alkatiri has been accused of helping to arm hit squads that were ordered to strike at opponents of the governing party.,The New York Times,[],http://www.nytimes.com/2006/06/28/world/asia/28cnd-timor.html,ContinuousNews,28/6/2006,News,54b56b4d79881025bee95fc6,
News Summary,New York and Region,[],1011,"INTERNATIONAL   A3-12    Israeli Troops Enter Gaza In Effort to Rescue Soldier  Israel sent troops and tanks into Gaza, and Israeli planes attacked three bridges and a power station, in an effort to cut the territory in half and rescue a wounded...",The New York Times,[],http://query.nytimes.com/gst/fullpage.html?res=9E01E4D71730F93BA15755C0A9609C8B63,Metropolitan Desk,28/6/2006,Summary,4fd270378eb7c8105d82bdbf,
East Timor to Question Former Premier,World,"[u'East Timor', u'Australia']",405,Mari Alkatiri has been accused of helping to arm hit squads that were ordered to strike at opponents of the governing party.,The New York Times,[u'Politics and Government'],http://www.nytimes.com/2006/06/29/world/asia/29timor.html,Foreign,29/6/2006,News,54b56fa579881025bee96080,
European Foes of Guantánamo Praise Ruling,World,[],536,The U.S. Supreme Court ruling barring the use of military tribunals for prisoners held at Guantánamo Bay prompted an outcry across Europe for the camp to be closed.,The New York Times,[],http://www.nytimes.com/2006/06/29/world/29cnd-react.html,ContinuousNews,29/6/2006,News,54b572ed79881025bee960ee,
News Summary,New York and Region,[],1055,"INTERNATIONAL   A3-9    Conservative Has Edge In Tight Mexican Vote  While unofficial results from Mexico's presidential election showed Felipe Calderón, the conservative backed by big business, with a one-point lead over Andrés Manuel López...",The New York Times,[],http://query.nytimes.com/gst/fullpage.html?res=9807EFDE1230F937A35754C0A9609C8B63,Metropolitan Desk,4/7/2006,Summary,4fd2af328eb7c8105d89dcc4,
House and Senate Hold Immigration Hearings,Washington,"[u'San Diego (Calif)', u'Philadelphia (Pa)']",830,Lawmakers' rival hearings on opposite coasts brought them no closer to compromise on their sharply differing proposals.,The New York Times,"[u'Immigration and Refugees', u'Illegal Immigrants', u'Politics and Government', u'Citizenship']",http://www.nytimes.com/2006/07/06/washington/06immigration.html,National,6/7/2006,News,54ae3f5c7988105cf609579a,
President Bush's News Conference ,Washington,[],9295,,The New York Times,[],http://www.nytimes.com/2006/07/07/washington/07text-bush.html,WEB,7/7/2006,News,54ae4bf77988105cf609593c,
